paymentId;TID;NSU;Date;PaymentDate;AuthCode;CNPJ;ValorTransacao;ValorParcela;Bandeira;CNPJ;
YsNJYCeWbnnohdGFBMojoELOwrbyLJPqur;a2e0fcab-d6cc-40eb-a815-f2a22acbfcad;0615542487;15/01/2023;29/08/2023;8162565088136598;09269697896511;35117.71;69012.99;bbDnnMlqsVVEcs;NTPFXPlRGHaKTa;
BimhmxSmEuvqZBGOSsEMEGEIJfeYarJpnm;a97d3cb5-cc2d-480f-9692-b9a45b0512ca;9215339949;15/02/2023;22/01/2023;3916684525485245;59426575917760;06614.13;50914.08;JFcaONSYorcrCR;gWLsBuNyJBdNoM;
MrckmMGyiRtYocCpURHIRQHKbOrvQMdXtd;96f27e06-f749-49ea-ab09-08d17696cc30;5311420100;28/08/2023;29/02/2023;4098940226684639;78506890347951;75342.78;85783.12;IzzuCMPalhmhJA;vPFqFyvRalnrVW;
nywPynXHctSxDoxOARVJoomZtppyxDUgwm;99e4f0a2-44ae-4fbb-a891-778573ce04a8;3813876673;4/04/2023;22/02/2023;8447743160988731;77870970798896;57569.92;08547.19;FqqBFirStLqxTq;rjWOUnKwHrdrGW;
XoVHEVFzqAdmiCjgEfrBCcbFLiUXdEsLMX;f8b27e74-2712-4a4d-8494-6ac68eea0f21;6462394633;17/07/2023;23/05/2023;0875808955209969;52352575900986;10982.01;02755.63;WkWwLTWUojmFEZ;MYgNHbDZTSzhYY;
tDcaDQoapSvqfpdQvzPfulyhMJaRQZHsnQ;2117a25e-3a01-42af-b5d7-1aef3868f6bf;1443614311;7/05/2023;9/03/2023;2617051377806410;04415237701582;82561.40;91415.99;IubdlyTRqIaGib;HrObURubJLJuOM;
YvMHsaqSKtSERlzUtoGTKCDNFpimzHBqcE;2a41e576-4132-4ca4-9f29-c5292e4db856;7262338393;4/09/2023;20/04/2023;5201260034322401;01236980878103;61566.24;07598.57;XjTCzhmTXcQspx;mhfzPtPqYoPZBz;
QdRKElXlOqGiGVkXYzYaaJEeSkkLJJuBoK;484b5f0d-688d-4986-a9ae-ad9dd47239fb;5708375831;1/03/2023;20/05/2023;0442802310787822;06350614812717;02506.89;92360.47;hfRvqaazLAYwsg;pqzqlZyeSRQBDR;
sFDUigqRBIoseoScBCbNGlPuIqLzayWibP;980a97e4-ae99-467f-a384-d86c7dbf655b;3417727920;12/08/2023;21/05/2023;8122492580347982;78970851052010;97641.86;73453.24;wEGGKJktmuuPer;BkzhKPBagqiEed;
GmvalggssuPtqCBgvtJuKphVahRAqshPjm;cdf4f6b7-882b-4e10-ac66-08708ebe6073;6480994197;28/07/2023;21/09/2023;7195744269217343;45038687894570;79395.19;80322.18;rEybCQbtHCqqNv;kODvsPjMiOSUzQ;
WvudpHGlYtDgqBcnoqwuiDIjaQkmdQIRdt;f8ca6c24-70c1-4a37-8f12-818d8e5c7b40;5729093178;7/06/2023;27/03/2023;8160721676560191;78209299529616;09317.16;11721.54;bzsIXytVOjjJGQ;QLaMOclTwPJgvj;
ZcSxKlSgcZTfVCOGiWWtYBEGehTtvnUmUr;b3b13dbf-03c8-4b53-b9e5-30ebc87e462f;2186808277;25/08/2023;26/06/2023;8048679325445342;13370721963778;90371.90;37972.35;BiLoWisRImHAgu;lJDPwMbGqsWOHQ;
YNDRkTdQHVBihEpGHWgtJqsSohNjxZATbg;55006244-497c-4804-adef-e3bca1e13f90;5299457863;28/03/2023;9/04/2023;1188967973867871;71644330667968;34999.79;85763.64;JMfcHQZYvoDjRH;XMZsZWfaEgRTgI;
kAagcgTLPdsCEHbLUxKwCSrqFmGdDzcGbm;0d1b0bff-4ca8-4132-acbc-70fd1bb54d1f;0733436992;3/06/2023;28/02/2023;2762519856626754;41310686791651;87900.60;45462.30;KCwMyKPJNDosqB;uuMWGSRFGWyVtS;
qYWUbiNUAriDYrhaVVNeNextHLDDkGJIzs;0c96f336-c141-408b-966d-c8e47720d4e6;6554960580;28/07/2023;5/01/2023;7257381610943414;25136440993696;28078.47;86272.58;VTjSmvbZwAeIgx;adEbdtFZReUKRJ;
UPdBBLecZDvRFDbeeuOQocFoneWMmzEgyu;b0b5f1d7-c357-40e8-983b-9d6f7f48d263;7824394941;17/09/2023;2/09/2023;6137392396341652;95498333271833;53405.69;79491.74;RoZAXqESDFZSqI;HrLhqWKIyxyvsA;
QMTwbfLvOriAVGlTTjjpXcDrqNAFxcBZCM;808c2891-4559-4312-9fb0-70c7605501cd;3352172899;20/04/2023;5/03/2023;2221219826020379;53738082134769;14598.44;20332.80;xhYJPzJsjUNbfO;jHthSnQPEuqXZN;
sZNtBClJFQnlSbTLEjFKjUHnSMUAvmDItI;3db07032-1e79-411d-bc09-1a497dae2d37;3626263194;24/07/2023;13/04/2023;2369292739925416;10965942912052;18529.87;65048.43;bxUDXrBJoJDVAO;KjARChgUemgGQm;
nDjXKAzjCYwGBYTOWlMlYouMtueCSPLzoZ;c63e0379-76e0-4455-b6a5-e7f8704ac374;0187388405;13/02/2023;6/05/2023;6578887969396618;72890265958049;34230.81;97791.29;pWskQzCKEvSiSH;ChUqjDlYvdcNYA;
XfPZORBQjnumcXPQsoUKYdJpLfTTzOqHzV;cf6d6cc0-dc01-4c35-9b0d-64e7a0ab52c3;1966069414;28/07/2023;6/06/2023;3483316393781894;22481206243780;04458.65;57441.48;ahkIGDfzyRWwQR;MDBwJCeTMvWNKb;
aOcnVuIrtbTEvsLDzWipNBxGeVmsoowdrk;76e25b8b-f062-495f-af56-f20c9562fbff;8720467641;22/08/2023;11/09/2023;7962532042220695;48339503445888;07883.01;33200.72;nULmyjHROoGNmo;xLLgHkdyDCTvsR;
SzyNnHwjyKxfsSsizaKZpfjFounVgFeRPa;e664c12b-7b0e-469b-94c7-3f5d128f2d97;3065768878;21/03/2023;12/06/2023;3425987643679883;53413576179966;16493.54;66137.80;PWDkXzUdzkeeTe;wpnzkVlDntYQSm;
GPsgyaxDkuXHcKdeOFdgFuioMlEWSEbfpU;e2bc7330-63e7-41e5-9f57-30b7918a6176;2019996299;12/03/2023;29/09/2023;4398774068985528;54330277684128;02898.13;82945.28;gNljIqUBLgAPnn;SgAjSbLDRSxYUX;
RuBcFFgYrIgsrnZinlVBJFxgwPmdsoKoNz;9517770c-4896-4ff9-b565-35b3d3928da2;7864443998;4/07/2023;1/01/2023;1923491146047761;67686756079899;91613.55;31106.19;BLgEtbekknGqBY;RhHbXETTZiVqkY;
yafdTpwdppbJwbbosPTzOcpDkgQNZIgDsA;4f24c27a-ce62-4420-97af-c7af3dae21c1;4559486717;16/07/2023;26/03/2023;1434424676351978;06329051210023;60469.67;92043.55;oTWoBJuBYkklvX;lVeAcQHZUzrUre;
mBpArtqlXKEPyuxvtItnblMsATThuUhYSe;0f920f5d-e522-45ac-aabc-1ab14c71d4d2;3318480819;18/06/2023;8/08/2023;7458624577473153;88285489183824;07069.10;56998.62;TceTaxJivYGoEB;tsLRnjFFlYZopz;
CGBeewCBdtPstiYHCYejZakwgDSRQeWzto;91572350-b7ef-4c44-acce-826420000bae;4131952011;18/01/2023;18/07/2023;7924790436542430;51055548017642;27312.91;40869.18;FOsJpdxxaldcbA;jmaUdOEyjPQFsB;
FxulqhIDGwsSdvOuiVFPihFsYKgAUcidSs;7be9fa93-e79d-401c-923a-24e4ff6157d8;7339151369;29/02/2023;27/09/2023;0888379679434839;07788450420305;94606.88;66137.97;WrlLgXJAILATXQ;MwbUVVhcyeXKUD;
mByIZpZVPdcQOdyYynvnhnaBXcgUfwunRP;59e7abd7-51ef-4f45-adde-4b419fbfd3d7;1130156388;24/04/2023;9/04/2023;0651537609774422;35028814190685;40258.34;81868.10;HpmImPEIBwdgXQ;IkcdOVsejZrWED;
GbJTaQNsJvhqMYRVrFjFnEKvExzYuIKfjv;7cbec1ba-2e31-4ffc-9656-baf909dff96b;1821756181;20/07/2023;5/08/2023;5453638224326043;09483073355706;40499.93;87445.71;aoBIfhwFgVMIrn;oXRSeqeEtlNBte;
UMzMGnwanYZawBXaDdGlszRoEdScSmEWxI;b5468971-7fa9-47e6-963d-f36d36bb1334;0765271670;12/05/2023;6/05/2023;7264365752123275;88564721292322;41735.66;51918.07;FDoSPpVsoZjkHh;haRdeqEdMNXvgt;
stCNPzrORqTJGeAJApjctDKSvwQjBCULJb;35cea7ee-a1b1-4dd5-bcaa-737799d32d4b;1573875867;13/02/2023;10/08/2023;4628477872345014;11552632575263;15849.84;81336.43;RjdmVveXPtzxgw;OugHXjFQoPRfcg;
JDYtHVQgfbUNoPzUeJgrtFPnlKuCVtwrra;8692b9aa-56ef-4f39-ac0b-d10a6c65220a;4524497015;6/09/2023;9/09/2023;2671914816637172;21736031396549;80064.81;21091.29;mBgVZGDSyFBlfG;VOzOAGijIKJVtM;
TaWECcgcWnAVIQxYQlAVeqEDDCqUaXXdYa;bb13e68b-2e41-46d4-9899-00e086e990e9;6401008680;13/06/2023;15/02/2023;4067493538158983;88370150252666;42854.12;86945.67;VgpacPKiVpIyed;WjgSFkxWwVUNZT;
IUONTvpKQFpGpfniTPoAVXDoOrXeVdBiDL;266c5108-eac4-4521-8198-409e2755b055;8985191935;30/07/2023;27/07/2023;8457597974177634;30927595819672;71775.86;21969.48;WKQgShFnzvNtSp;WyUHiwklHfzfBI;
wuolzGFakzVLHVFrjHHsqxOGKOWbLBMzPL;9a8ba15c-a98f-4164-8c4c-8416c81cd186;5424025640;3/08/2023;11/02/2023;6295139961144632;41918969941176;79764.91;89098.69;jyUOykZtlxcZNa;yfiQNKxCEhOGvG;
ZonfEbAHVgCcknGzPzpDQGefAiYrahGWSb;0cbcf6be-0965-4f0e-8e33-b2a6e623f47c;0541857726;16/09/2023;28/07/2023;5620966035286450;13151814275712;53528.21;66728.17;iLRnhtKmCRrkop;jicxBGGOJoxRFf;
xCtyoBsclscPKRduXpckPtePHTDbKoUpst;95446c33-fe09-45c0-83b8-58d846867f86;9414637885;16/08/2023;2/02/2023;1193695117052443;77735071521228;14328.43;94879.91;uVOBwKTbYBJKJH;wJjkPEBVlbmkwT;
WhCTmeMpqXPewrABnnyhWGPEyYxlZULBKq;ba60c172-3409-4567-829c-fcc08d9413e4;7950653253;5/02/2023;7/02/2023;1386652672295446;38205457595372;39361.86;28649.65;ZfCkbrRgHLwYUX;NtRcwwYphLIxEw;
FHiXaJgAJxIDkRdhrDWyPSGWvVRhNbHVxv;8fd99dbe-0b3a-47c3-aade-bf0646f79caf;4357872467;5/03/2023;19/06/2023;5923286287827437;84982309589494;11396.57;40297.58;KtUyESIvZpOkMP;oWaXnDUmVHlDYV;
kGEhUVgNxKVVjfdUjEVdgrdBliQdabRgkT;45cdba85-9fa8-4128-8968-11009bf042c8;1421958299;30/09/2023;14/08/2023;9089471649952801;12834841622442;37346.62;56831.02;XWCueYAVcVtXwI;wBogpUXDPXiZJw;
roNaNXLBypxXhJVrfZZXixdOxnSXrMfeEf;b69b8410-f479-4ea7-b3ba-4f67c876aa6b;8655921435;14/06/2023;27/01/2023;0306263795867697;93097260959777;42525.25;61355.09;dpSYyctjWpWyuW;LVekdkmVHfmKxS;
xGvMyRzrDArzWrTBDrEZNeskSXZmCSUGPq;63318367-50fd-4fa2-b145-810b0d662878;8197600958;2/05/2023;1/02/2023;4165214470425203;93530757275697;30401.18;42491.33;VGbhvkMTbeivEq;yHqMkJKkZujkyi;
dizYktQzBGuoBqlmUlouvqHehYnnfXfKWP;8f78b942-bd5a-45a1-8a25-78c17e10cc95;6756111472;25/05/2023;28/03/2023;8947700399815751;68242132124908;43456.87;46851.53;MTWQAfjQrAYVlz;eBvydnEXinEKba;
MyDEfjLZFGaWTdrhWcbVoJsvqKuwXSjTOo;bb14d25a-0492-404a-8804-1bf7a5eb25e1;8161604429;16/07/2023;22/07/2023;2763912678639586;71267444616633;47836.51;44754.71;ZpsGvThuAYjfjl;xjcgroZEbBCHvi;
MnqyUvCNpaUiriSiIbNkpuiVQFPgoOMlqv;1a88c159-fe7c-4512-bd8b-6c63b0dd2a48;2780016370;17/01/2023;30/06/2023;4639144352758779;46785562208128;85422.99;06264.51;KTKiYdqJKeuBxM;nxKzNCkUMFghhB;
XXQEqYSoeoHWOFcwNJYmMrsKnExTKHbbog;9f1871e4-ef68-49e8-b1da-351755dee46c;4320058473;2/03/2023;23/01/2023;8527106025420534;91569606232124;93626.20;52993.22;RYAaZkmgPSlePf;riiGjdptNaYWUb;
zRDEIxiPmQFiOZRpicKWBVkUFffrhwRPHn;41174176-e360-4dc7-931e-042943fb2d44;1419389813;20/01/2023;29/02/2023;0807413596934893;81690051527774;91601.47;54828.35;mnlkldgFHrNtNj;prAuzoZfWCFCIY;
JZCzjKbqSyEcEcfyKRaOOWnjpypiWqmRzM;abc10e3c-acd2-49c8-b4a0-06e953d0db01;7642528945;2/04/2023;12/05/2023;5700246821490382;62292706429834;63814.15;42057.42;rDizDWJqAOlGtK;vvRJiQXOTyaYTy;
WHOHmvBPzePsScRtKrbNmAOgISQcmqTknT;cf0db419-48d0-4e1e-8e53-39bccc81c7c5;9258933631;20/09/2023;9/07/2023;3342736340194811;86418142103974;74355.40;08175.22;iOJLgiCCieRPDI;ZSalXKLpFcXYig;
bcgmDjXXydCCbMHcVHriAVCKqMpmyOyzEz;b1d8ba10-387c-48e3-9404-bc4db92d0cf0;6196731930;23/09/2023;19/02/2023;4804100605222057;89352318956828;35939.30;29996.04;TpWnDgsjdKoJNc;EgzDEZbySMlBYR;
tiuXPzHIwtBZRsFSUbiLCTIybWDFrsJgcV;e8e42848-74bd-4026-b5bd-ae0a9fd6b8fa;8442944706;28/03/2023;23/07/2023;3653871641684410;18016838591170;13263.55;78450.12;AUrEZvxTyaDxem;spITHLyEbhxCLe;
DLEyxcsjDlpMCSwFFiQNuScfMYlIYivOOh;4f94839a-b966-46a0-a0ac-9774310d0400;4422641975;9/07/2023;18/04/2023;8900214688926407;03719897367308;36236.88;22550.00;BiYMVfUUWvhnfq;xrlytfjJsQuHaF;
LLBBPCPGmfhBUfahKrHijFbotDPHkbLPqk;dc2e2fb4-bcc2-4512-a2bd-2aad89cc1f66;5570559423;23/05/2023;30/02/2023;2479023235982297;62778345877447;49326.86;30198.12;DSpYHQKQxaOkSb;FJheDiLkFLwbyQ;
fTrHQuUPmNEloarEevhksAmUdzTnINlWyu;793c7dfc-18f9-49bd-b210-40ff4508e2fe;3280852890;14/05/2023;19/09/2023;4347044159619192;01472445071775;29018.83;86635.28;QWmTjmNlXGdOZf;uHqKsvNhDLYcHX;
ubYbgKQaPETyeUshrHTydTdRNdSSozrTsb;ed429ae0-05cd-4226-8695-63c1e0a1df4a;9717420555;18/04/2023;30/01/2023;9162371329291859;32594374328665;89294.08;49451.98;TkXeTjolVuwSwd;gKNeceIxGZiOpk;
LDloFdmlhDOcpeINftawEoyZjUVhFHAApJ;24c779ef-e91e-4385-a70c-058a3f51cbad;8808649614;2/05/2023;18/03/2023;5487387838630929;10386028211507;76456.26;19777.33;BVvQCAeetcyuPA;HzcDOfuSUmbEtd;
PFxJqBDQFOnNnRPGZoSXboqAggxXEbiWxG;a7db3936-a7e9-45db-a2d2-ad4cbb00d3bb;6420008772;6/03/2023;8/05/2023;6561506468496219;47343263598558;73466.70;62350.61;LECWeIZxgwnQtd;YNUkmGJACfNCxW;
XMbJmTQIQXKGOKClAgEbrqNMYpGrgLcIOB;7f535a91-3ab8-46c5-9c08-3d14eeb7c7de;7705229037;18/01/2023;16/08/2023;9248329542946581;76519963784978;35129.36;88298.74;xPpOFptjuyuugW;UjJwWKKWBjemqh;
AwlbWaoBlUhUaoRmJuLVbuhSBedPpoaYfl;63f31f37-e436-4bb8-9918-1844398ffdc2;6672358205;16/03/2023;26/09/2023;3515704266858879;56376031026072;27771.38;80746.68;SmyrYCceIQigDy;VDDVvjIBwSbnIj;
ZBvsdUeyYdJHiXZEWneckPrEPeBhAQtlZs;e9486df1-a5f9-432e-9dd2-107a805e92c5;2238170184;2/02/2023;13/08/2023;4910746924842697;45296666451807;71298.23;23258.19;PCnTdFxJrzyTAP;QQiyLYISrYckPC;
qWASfoCbrRDBnHldYwYLQTkcdLtHyDmzbw;2a94511f-947c-415b-89e6-c1fcac5a2602;5603357126;17/01/2023;16/04/2023;2794348733149807;25857913709857;58232.03;66862.03;YPXbVQVBMBvQzu;TfhZpncBJxhRMO;
aGVYXOqQXwNtGlGqxRljuVeWxAbxhsOPSZ;9f7cf24e-ae84-4812-aa42-9017fa911d2c;8267965981;14/01/2023;23/03/2023;4190988294913832;70374696454059;59423.68;56160.19;oZJdlgKCJcoIHX;seqUurZICUNKFV;
KQYsomykhHQlehiQQNwFdLllfnvloQXpuy;dc263906-589f-4d6f-9c9c-9bbc1d0bbc72;5639473626;9/09/2023;10/03/2023;4199866586142127;23622761234362;95066.61;51801.77;iyiUcJDSUeQnBM;btPXrChxyKiGxj;
JpSQPpWZxJSRBDEHKHRvVBNBIqZLRpJPSG;9861ab4e-2584-449c-9069-3557d7033fab;4543504595;26/04/2023;13/02/2023;2074071542508995;85381555186407;35823.61;07582.86;rjsJizoTbEmpGc;EKsfFOOsoauKNG;
